,concentration,stickiness,sparsity,pvar,lrate,lratep,decay_rate,skipt1,b_mse1,b_mse2,i_mse1,i_mse2
0,2.2766534570067654,26.883344400872488,0.098719503,0,1,1,1,FALSE,0.013106897665551594,0.006716169,0.017240588,0.029980545838036884
0,2.897093239431248,88.49031652325053,0.016622251,0,1,1,1,FALSE,0.012111984214766048,0.00947875,0.024012309277142197,0.010940309188954025
0,3.851198216742701,57.431469699474974,0.09801351,0,1,1,1,FALSE,0.013015865274170932,0.006613173,0.016580502639139953,0.028331175
0,4.2064191532573565,22.238782305246293,0.1882953754058614,0,1,1,1,FALSE,0.011505077198650224,0.007960074,0.016429869075487318,0.031029018
0,4.435873652832752,91.45369513307548,0.051214296,0,1,1,1,FALSE,0.012540814314101692,0.007231118,0.010542804980663213,0.024402953757911718
0,4.496271823587095,3.7406603573305146,0.1331068719343405,0,1,1,1,FALSE,0.013804578767145843,0.00490397,0.012256779145460604,0.023346655067538774
0,4.500879549525292,25.241588873832956,0.1789885928665522,0,1,1,1,FALSE,0.011408293258438168,0.011675559,0.012782836247702562,0.025588721
0,4.688313986028501,70.86879118081862,0.1299309014793963,0,1,1,1,FALSE,0.015358504910733546,0.006626567,0.017604751328547028,0.033433232
0,1.2524064477373238,86.84789766,0.011308478,0,1,1,1,FALSE,0.011505789,0.014830568183832186,0.012909761842259684,0.018278445898981168
0,1.3504815960872352,3.516716231735629,0.08542098,0,1,1,1,FALSE,0.013308969113870216,0.0065893,0.013817298497091844,0.011454071
0,1.4450568464451257,4.663986050719687,0.1452853601710934,0,1,1,1,FALSE,0.01030372,0.007482359,0.017677224,0.033967987866664856
0,2.1283296997976704,34.67946050554417,0.065242218,0,1,1,1,FALSE,0.011938776078945485,0.010835858833212262,0.012795963386112663,0.026140696109863942
0,2.463324614169946,47.78327187260327,0.090092147,0,1,1,1,FALSE,0.015130062631180038,0.006454045,0.019361160221540056,0.034240682
0,2.808741358959555,23.839658894906595,0.1083724703257841,0,1,1,1,FALSE,0.011723817295130284,0.016259894631071154,0.015689051267746192,0.029000642
0,3.2372648711721457,3.957460118501347,0.1783557267167827,0,1,1,1,FALSE,0.013758875040435431,0.007366055,0.027632561,0.020956032201351834
0,3.6776145849404944,54.75222567745106,0.1024233277377446,0,1,1,1,FALSE,0.011706229819675174,0.009870314,0.015324425558940136,0.032869052119654144
0,3.810954444721602,21.864022516344985,0.1659732733451011,0,1,1,1,FALSE,0.011943077,0.014707199884533027,0.016129434,0.029744370182294776
0,3.896604475349122,48.37115644402301,0.1051564745220173,0,1,1,1,FALSE,0.011754756772888833,0.012460808246672334,0.015175165,0.027785524
0,4.325240393144043,43.04680003673531,0.1269625530401694,0,1,1,1,FALSE,0.012466849,0.007070805,0.016959650621027354,0.030034048911180413
0,4.692067265439759,96.50393118,0.084505056,0,1,1,1,FALSE,0.016686921883053613,0.007444153,0.014621451575125814,0.029995259879439393
0,4.73491077,30.01842376526196,0.1626188601166921,0,1,1,1,FALSE,0.011493667383060159,0.0125639,0.015972223309695013,0.030150825781355264
0,0.1832456588946607,88.27236948626299,0.005631115,0,1,1,1,FALSE,0.011164533,0.008308245,0.012099226952740492,0.028652806180196087
0,1.046585708608398,17.98591817233928,0.05721613,0,1,1,1,FALSE,0.011339566919171895,0.007637729,0.017671527894534845,0.031673951
